Role,Age,Gender,Occupation,Personality Traits,Communication Style,Interests and Hobbies,Educational Background,Cultural Background,Language Proficiency,Technology Savviness,Preferred Communication Medium,Lifestyle,Values and Beliefs,Relationship Status,Economic Status,Health and Wellness,Time Availability,Problem-solving Approach
Role805,35,nondisclosed,Teacher,Traditional,Informal,Traveling,Graduate Degree,Middle Eastern,English,Expert,Text,Sedentary,Humanism,Married,Middle income,Healthy,Full-time,Analytical
Role806,72,nondisclosed,Doctor,Innovative,Formal,Reading,Bachelor,Middle Eastern,Mandarin,Intermediate,Mixed,Sedentary,Islam,Single,Low income,Healthy,Sporadic,Practical
Role807,39,genderqueer,Student,Extroverted,Mixed,Sports,Bachelor,African,English,Expert,Mixed,Sedentary,Christianity,Divorced,Low income,Health-conscious,Part-time,Creative
Role808,22,nondisclosed,Engineer,Innovative,Empathetic,Traveling,Bachelor,Middle Eastern,French,Novice,Mixed,Active,Environmentalism,In a relationship,Low income,Health-conscious,Sporadic,Collaborative
Role809,74,male,Retired,Extroverted,Formal,Reading,High School,Eastern,Spanish,Intermediate,Video,Sedentary,Environmentalism,Single,Low income,Health-conscious,Full-time,Analytical
Role810,59,male,Teacher,Traditional,Empathetic,Sports,Graduate Degree,African,Spanish,Expert,Voice,Sedentary,Atheism,Single,Middle income,Average health,Part-time,Practical
Role811,68,genderqueer,Engineer,Traditional,Mixed,Painting,Graduate Degree,Middle Eastern,Spanish,Novice,Video,Active,Humanism,Married,High income,Healthy,Part-time,Collaborative
Role812,58,female,Scientist,Extroverted,Empathetic,Reading,Bachelor,African,French,Intermediate,Video,Sedentary,Atheism,Widowed,High income,Average health,Full-time,Analytical
Role813,31,genderqueer,Teacher,Innovative,Empathetic,Reading,Graduate Degree,Western,Spanish,Intermediate,Text,Active,Islam,Divorced,Low income,Average health,Part-time,Practical
Role814,70,genderqueer,Retired,Traditional,Empathetic,Video Games,Graduate Degree,Middle Eastern,Spanish,Novice,Video,Active,Environmentalism,Divorced,Low income,Health-conscious,Full-time,Practical
Role815,44,nondisclosed,Retired,Traditional,Informal,Sports,Bachelor,Middle Eastern,Mandarin,Novice,Mixed,Active,Christianity,In a relationship,Middle income,Average health,Part-time,Practical
Role816,67,genderqueer,Artist,Innovative,Informal,Reading,Bachelor,African,French,Expert,Video,Sedentary,Christianity,Divorced,Low income,Health-conscious,Sporadic,Collaborative
Role817,22,genderqueer,Engineer,Introverted,Formal,Cooking,Graduate Degree,Middle Eastern,French,Expert,Video,Active,Christianity,Divorced,Low income,Healthy,Full-time,Creative
Role818,54,female,Retired,Innovative,Direct,Painting,High School,Eastern,Spanish,Expert,Text,Sedentary,Atheism,Widowed,High income,Health-conscious,Sporadic,Analytical
Role819,33,male,Student,Introverted,Informal,Sports,High School,Western,French,Intermediate,Video,Active,Islam,Divorced,Middle income,Average health,Part-time,Analytical
Role820,23,nondisclosed,Artist,Extroverted,Empathetic,Cooking,Graduate Degree,Middle Eastern,French,Expert,Video,Active,Christianity,Single,High income,Health-conscious,Full-time,Creative
Role821,72,genderqueer,Doctor,Innovative,Mixed,Video Games,Bachelor,Eastern,Spanish,Novice,Text,Active,Christianity,Widowed,Middle income,Health-conscious,Full-time,Creative
Role822,31,genderqueer,Teacher,Introverted,Mixed,Sports,Graduate Degree,Western,English,Novice,Voice,Sedentary,Environmentalism,Single,Middle income,Healthy,Part-time,Collaborative
Role823,67,genderqueer,Teacher,Traditional,Direct,Cooking,High School,Eastern,Spanish,Expert,Voice,Active,Christianity,Divorced,High income,Healthy,Full-time,Practical
Role824,66,female,Student,Traditional,Informal,Cooking,Bachelor,Eastern,French,Expert,Voice,Sedentary,Humanism,Widowed,Low income,Average health,Part-time,Creative
Role825,36,genderqueer,Engineer,Innovative,Humorous,Reading,High School,Western,English,Intermediate,Text,Sedentary,Humanism,Married,Low income,Health-conscious,Sporadic,Practical
Role826,78,nondisclosed,Teacher,Innovative,Direct,Video Games,Bachelor,Eastern,Spanish,Intermediate,Voice,Sedentary,Islam,Single,Low income,Average health,Full-time,Collaborative
Role827,40,male,Teacher,Traditional,Humorous,Sports,High School,Middle Eastern,Mandarin,Intermediate,Video,Sedentary,Atheism,Divorced,Middle income,Average health,Part-time,Analytical
Role828,61,male,Scientist,Introverted,Informal,Video Games,Bachelor,African,French,Expert,Text,Sedentary,Humanism,Widowed,Middle income,Healthy,Part-time,Creative
Role829,60,male,Artist,Introverted,Humorous,Traveling,High School,African,Mandarin,Expert,Voice,Active,Environmentalism,Divorced,High income,Average health,Part-time,Practical
Role830,20,male,Student,Extroverted,Humorous,Traveling,High School,Middle Eastern,Spanish,Expert,Video,Active,Islam,Widowed,High income,Health-conscious,Full-time,Practical
Role831,79,male,Student,Extroverted,Informal,Traveling,High School,Eastern,French,Intermediate,Video,Active,Atheism,Married,High income,Healthy,Sporadic,Practical
Role832,27,male,Student,Traditional,Empathetic,Reading,High School,African,Mandarin,Expert,Video,Active,Christianity,Divorced,Middle income,Healthy,Part-time,Analytical
Role833,35,genderqueer,Engineer,Extroverted,Mixed,Painting,High School,Middle Eastern,English,Expert,Mixed,Active,Islam,Married,High income,Healthy,Sporadic,Collaborative
Role834,70,male,Scientist,Innovative,Mixed,Painting,High School,Western,English,Expert,Video,Active,Environmentalism,Single,High income,Healthy,Part-time,Practical
Role835,23,nondisclosed,Teacher,Introverted,Direct,Painting,High School,Western,English,Novice,Mixed,Active,Islam,Married,Low income,Average health,Full-time,Analytical
Role836,63,male,Engineer,Extroverted,Informal,Reading,Graduate Degree,African,English,Expert,Mixed,Active,Christianity,In a relationship,High income,Average health,Part-time,Collaborative
Role837,55,male,Scientist,Introverted,Direct,Sports,Bachelor,African,English,Intermediate,Text,Active,Atheism,Single,High income,Health-conscious,Part-time,Collaborative
Role838,35,female,Teacher,Introverted,Empathetic,Cooking,Bachelor,African,French,Novice,Text,Active,Atheism,In a relationship,Low income,Healthy,Sporadic,Practical
Role839,58,nondisclosed,Doctor,Traditional,Direct,Sports,High School,Eastern,English,Novice,Voice,Sedentary,Christianity,Widowed,Low income,Average health,Full-time,Creative
Role840,43,genderqueer,Student,Introverted,Empathetic,Cooking,Bachelor,Western,French,Expert,Text,Active,Environmentalism,Married,Middle income,Healthy,Sporadic,Practical
Role841,47,nondisclosed,Artist,Extroverted,Mixed,Reading,High School,Eastern,French,Expert,Mixed,Active,Atheism,In a relationship,Middle income,Health-conscious,Sporadic,Practical
Role842,56,female,Retired,Extroverted,Informal,Painting,Graduate Degree,African,Spanish,Novice,Mixed,Sedentary,Christianity,In a relationship,Low income,Healthy,Part-time,Collaborative
Role843,19,genderqueer,Scientist,Innovative,Informal,Painting,Graduate Degree,Western,Spanish,Intermediate,Video,Sedentary,Atheism,Divorced,Middle income,Average health,Sporadic,Collaborative
Role844,18,female,Student,Introverted,Empathetic,Cooking,Graduate Degree,African,French,Expert,Mixed,Active,Islam,Married,Low income,Health-conscious,Full-time,Collaborative
Role845,74,female,Retired,Extroverted,Direct,Traveling,Graduate Degree,Western,Mandarin,Intermediate,Mixed,Sedentary,Islam,Divorced,Middle income,Health-conscious,Part-time,Practical
Role846,80,nondisclosed,Teacher,Innovative,Direct,Sports,Graduate Degree,Western,English,Expert,Text,Active,Atheism,Single,High income,Average health,Part-time,Analytical
Role847,18,female,Retired,Introverted,Informal,Sports,Graduate Degree,Eastern,Mandarin,Intermediate,Video,Active,Christianity,In a relationship,Low income,Health-conscious,Full-time,Creative
Role848,35,male,Engineer,Introverted,Mixed,Traveling,Bachelor,Western,English,Expert,Video,Sedentary,Atheism,Widowed,High income,Average health,Full-time,Creative
Role849,28,nondisclosed,Scientist,Introverted,Formal,Video Games,High School,African,Mandarin,Expert,Voice,Sedentary,Islam,In a relationship,Middle income,Average health,Part-time,Analytical
Role850,27,male,Engineer,Traditional,Direct,Video Games,High School,Middle Eastern,English,Novice,Text,Active,Atheism,Widowed,High income,Health-conscious,Part-time,Practical
Role851,42,genderqueer,Teacher,Extroverted,Formal,Video Games,Graduate Degree,Middle Eastern,French,Novice,Video,Active,Humanism,Divorced,High income,Healthy,Sporadic,Analytical
Role852,38,female,Doctor,Introverted,Informal,Painting,Graduate Degree,Eastern,Spanish,Expert,Mixed,Sedentary,Humanism,Single,Low income,Healthy,Sporadic,Creative
Role853,78,male,Teacher,Innovative,Formal,Traveling,High School,Eastern,Spanish,Expert,Mixed,Active,Atheism,Married,High income,Average health,Full-time,Creative
Role854,73,nondisclosed,Doctor,Traditional,Empathetic,Sports,Bachelor,Western,English,Novice,Mixed,Sedentary,Christianity,In a relationship,Middle income,Healthy,Full-time,Collaborative
Role855,19,female,Artist,Traditional,Empathetic,Sports,Graduate Degree,African,French,Novice,Video,Sedentary,Environmentalism,Divorced,Middle income,Healthy,Sporadic,Collaborative
Role856,51,genderqueer,Artist,Introverted,Informal,Traveling,High School,Middle Eastern,Mandarin,Intermediate,Video,Sedentary,Humanism,Divorced,High income,Health-conscious,Full-time,Collaborative
Role857,40,male,Student,Introverted,Mixed,Sports,Graduate Degree,Eastern,Spanish,Expert,Video,Active,Environmentalism,Divorced,Low income,Health-conscious,Sporadic,Creative
Role858,23,female,Engineer,Introverted,Direct,Cooking,Bachelor,Western,Spanish,Intermediate,Voice,Sedentary,Christianity,Married,Low income,Average health,Sporadic,Analytical
Role859,58,nondisclosed,Engineer,Extroverted,Empathetic,Cooking,High School,Eastern,French,Novice,Mixed,Sedentary,Humanism,In a relationship,High income,Average health,Part-time,Practical
Role860,31,genderqueer,Engineer,Traditional,Empathetic,Reading,High School,Western,French,Intermediate,Voice,Active,Environmentalism,Divorced,Middle income,Health-conscious,Sporadic,Creative
Role861,55,male,Doctor,Introverted,Empathetic,Painting,Bachelor,Eastern,English,Expert,Mixed,Sedentary,Islam,Divorced,High income,Health-conscious,Full-time,Collaborative
Role862,23,nondisclosed,Student,Introverted,Mixed,Video Games,Bachelor,African,French,Expert,Voice,Sedentary,Islam,Divorced,High income,Healthy,Part-time,Creative
Role863,78,nondisclosed,Doctor,Extroverted,Humorous,Traveling,Bachelor,African,English,Intermediate,Text,Sedentary,Humanism,Divorced,Middle income,Healthy,Sporadic,Analytical
Role864,18,nondisclosed,Artist,Traditional,Direct,Painting,Graduate Degree,Middle Eastern,Spanish,Expert,Voice,Sedentary,Atheism,Widowed,Low income,Healthy,Full-time,Creative
Role865,22,female,Scientist,Traditional,Informal,Painting,Bachelor,Western,English,Intermediate,Video,Active,Humanism,Widowed,Middle income,Average health,Full-time,Creative
Role866,80,nondisclosed,Teacher,Extroverted,Direct,Reading,High School,Eastern,French,Novice,Voice,Active,Humanism,Single,Low income,Average health,Part-time,Collaborative
Role867,70,genderqueer,Artist,Extroverted,Humorous,Painting,High School,African,English,Novice,Video,Sedentary,Environmentalism,Widowed,High income,Healthy,Full-time,Analytical
Role868,38,female,Scientist,Innovative,Empathetic,Cooking,Bachelor,Middle Eastern,French,Expert,Mixed,Sedentary,Islam,In a relationship,Middle income,Healthy,Part-time,Collaborative
Role869,70,female,Artist,Traditional,Informal,Traveling,Graduate Degree,Eastern,English,Expert,Video,Active,Christianity,Single,High income,Health-conscious,Full-time,Collaborative
Role870,28,genderqueer,Scientist,Introverted,Formal,Reading,High School,African,French,Novice,Video,Sedentary,Islam,Single,Middle income,Average health,Sporadic,Practical
Role871,62,male,Teacher,Innovative,Mixed,Traveling,Bachelor,Eastern,French,Novice,Video,Sedentary,Christianity,Divorced,High income,Healthy,Full-time,Analytical
Role872,56,nondisclosed,Scientist,Introverted,Humorous,Video Games,Bachelor,Eastern,French,Intermediate,Voice,Active,Environmentalism,In a relationship,High income,Average health,Part-time,Analytical
Role873,61,nondisclosed,Scientist,Traditional,Direct,Sports,Graduate Degree,Middle Eastern,French,Expert,Voice,Sedentary,Environmentalism,In a relationship,Low income,Healthy,Full-time,Creative
Role874,70,male,Student,Extroverted,Mixed,Video Games,Graduate Degree,Western,English,Novice,Text,Active,Christianity,Single,Middle income,Health-conscious,Full-time,Creative
Role875,67,female,Doctor,Introverted,Formal,Video Games,High School,Eastern,French,Novice,Mixed,Active,Environmentalism,Divorced,Middle income,Health-conscious,Part-time,Collaborative
Role876,40,nondisclosed,Retired,Introverted,Formal,Reading,Graduate Degree,Middle Eastern,Spanish,Intermediate,Video,Sedentary,Environmentalism,Widowed,Middle income,Healthy,Sporadic,Analytical
Role877,29,male,Doctor,Extroverted,Mixed,Painting,High School,African,Mandarin,Intermediate,Voice,Active,Islam,Single,Low income,Health-conscious,Full-time,Collaborative
Role878,50,genderqueer,Doctor,Extroverted,Mixed,Reading,Graduate Degree,Middle Eastern,Mandarin,Novice,Voice,Sedentary,Atheism,Single,High income,Healthy,Sporadic,Collaborative
Role879,37,female,Retired,Innovative,Humorous,Sports,High School,Eastern,French,Novice,Text,Active,Christianity,Divorced,High income,Healthy,Sporadic,Creative
Role880,52,male,Retired,Extroverted,Humorous,Video Games,Graduate Degree,African,French,Intermediate,Video,Sedentary,Islam,In a relationship,Low income,Average health,Full-time,Collaborative
Role881,38,male,Doctor,Innovative,Direct,Video Games,Graduate Degree,Middle Eastern,Mandarin,Novice,Video,Active,Humanism,Widowed,Middle income,Average health,Full-time,Creative
Role882,55,male,Artist,Traditional,Humorous,Traveling,Bachelor,Eastern,Spanish,Expert,Text,Sedentary,Humanism,Single,Middle income,Health-conscious,Part-time,Practical
Role883,24,female,Engineer,Extroverted,Empathetic,Cooking,Bachelor,Eastern,English,Novice,Text,Sedentary,Christianity,In a relationship,High income,Average health,Part-time,Collaborative
Role884,24,nondisclosed,Engineer,Extroverted,Direct,Reading,Graduate Degree,Eastern,French,Expert,Mixed,Active,Islam,Divorced,High income,Healthy,Part-time,Collaborative
Role885,35,genderqueer,Teacher,Innovative,Formal,Sports,High School,Western,Mandarin,Novice,Text,Active,Environmentalism,Widowed,Low income,Health-conscious,Part-time,Analytical
Role886,60,female,Scientist,Traditional,Direct,Painting,Graduate Degree,Middle Eastern,English,Intermediate,Video,Active,Christianity,Widowed,High income,Average health,Sporadic,Creative
Role887,80,nondisclosed,Retired,Traditional,Humorous,Sports,Bachelor,Middle Eastern,English,Expert,Text,Sedentary,Islam,Widowed,Middle income,Health-conscious,Part-time,Analytical
Role888,22,female,Scientist,Traditional,Empathetic,Traveling,Bachelor,Eastern,English,Novice,Voice,Active,Humanism,Divorced,High income,Healthy,Full-time,Creative
Role889,75,nondisclosed,Teacher,Traditional,Informal,Traveling,Graduate Degree,Middle Eastern,English,Intermediate,Mixed,Active,Humanism,Divorced,High income,Healthy,Full-time,Analytical
Role890,47,female,Doctor,Traditional,Informal,Painting,Graduate Degree,Western,Spanish,Novice,Video,Active,Atheism,Divorced,Middle income,Health-conscious,Full-time,Analytical
Role891,38,nondisclosed,Artist,Introverted,Direct,Sports,Bachelor,Eastern,French,Expert,Mixed,Sedentary,Atheism,Divorced,Middle income,Health-conscious,Full-time,Collaborative
Role892,21,male,Engineer,Extroverted,Mixed,Painting,Graduate Degree,Middle Eastern,French,Novice,Video,Sedentary,Humanism,Widowed,High income,Average health,Sporadic,Collaborative
Role893,68,male,Engineer,Innovative,Mixed,Sports,High School,African,Spanish,Expert,Video,Active,Atheism,In a relationship,Middle income,Average health,Sporadic,Creative
Role894,19,genderqueer,Student,Innovative,Mixed,Reading,Graduate Degree,Middle Eastern,Mandarin,Expert,Video,Sedentary,Christianity,Married,Low income,Health-conscious,Full-time,Practical
Role895,38,nondisclosed,Artist,Traditional,Informal,Cooking,High School,Western,Spanish,Novice,Video,Active,Islam,Widowed,Middle income,Health-conscious,Part-time,Creative
Role896,45,nondisclosed,Artist,Innovative,Formal,Reading,Bachelor,Middle Eastern,Mandarin,Intermediate,Video,Sedentary,Atheism,Divorced,Middle income,Health-conscious,Full-time,Collaborative
Role897,56,female,Retired,Introverted,Direct,Sports,Graduate Degree,Eastern,Mandarin,Novice,Voice,Active,Islam,In a relationship,Middle income,Average health,Full-time,Analytical
Role898,27,male,Retired,Extroverted,Mixed,Painting,Graduate Degree,African,English,Novice,Mixed,Active,Christianity,In a relationship,High income,Health-conscious,Full-time,Creative
Role899,62,nondisclosed,Doctor,Introverted,Direct,Traveling,High School,Western,Mandarin,Expert,Video,Sedentary,Islam,Widowed,Middle income,Average health,Part-time,Creative
Role900,37,nondisclosed,Retired,Extroverted,Direct,Painting,Bachelor,Middle Eastern,English,Expert,Video,Active,Environmentalism,Single,High income,Average health,Sporadic,Creative
Role901,61,genderqueer,Engineer,Extroverted,Direct,Video Games,Graduate Degree,Eastern,French,Intermediate,Voice,Active,Christianity,Married,High income,Average health,Part-time,Practical
Role902,34,female,Engineer,Traditional,Informal,Video Games,Bachelor,Western,English,Intermediate,Video,Sedentary,Humanism,Married,High income,Health-conscious,Full-time,Creative
Role903,34,nondisclosed,Artist,Innovative,Empathetic,Sports,Graduate Degree,Middle Eastern,Mandarin,Novice,Video,Sedentary,Humanism,In a relationship,Middle income,Healthy,Full-time,Creative
Role904,44,nondisclosed,Doctor,Traditional,Informal,Painting,Graduate Degree,Middle Eastern,Mandarin,Expert,Voice,Sedentary,Humanism,In a relationship,High income,Health-conscious,Full-time,Collaborative
Role905,44,male,Student,Innovative,Empathetic,Reading,High School,Eastern,English,Intermediate,Text,Active,Islam,Married,Low income,Average health,Part-time,Practical
Role906,54,male,Retired,Introverted,Formal,Sports,High School,African,English,Expert,Text,Active,Humanism,Divorced,Low income,Health-conscious,Sporadic,Practical
Role907,78,genderqueer,Student,Traditional,Informal,Painting,Bachelor,Western,French,Expert,Text,Sedentary,Christianity,Single,Middle income,Health-conscious,Full-time,Collaborative
Role908,21,genderqueer,Teacher,Extroverted,Empathetic,Video Games,Bachelor,African,English,Novice,Video,Sedentary,Islam,Single,Low income,Healthy,Sporadic,Analytical
Role909,20,genderqueer,Student,Traditional,Mixed,Video Games,Bachelor,Middle Eastern,Spanish,Expert,Voice,Sedentary,Christianity,In a relationship,Low income,Average health,Sporadic,Creative
Role910,44,male,Engineer,Extroverted,Empathetic,Painting,High School,Western,English,Intermediate,Video,Active,Islam,Divorced,High income,Healthy,Sporadic,Analytical
Role911,26,female,Teacher,Innovative,Humorous,Video Games,Bachelor,Eastern,French,Novice,Voice,Sedentary,Christianity,Single,Low income,Healthy,Full-time,Collaborative
Role912,73,female,Retired,Traditional,Direct,Reading,Bachelor,Middle Eastern,French,Novice,Voice,Active,Humanism,Divorced,Middle income,Healthy,Part-time,Collaborative
Role913,56,genderqueer,Teacher,Extroverted,Mixed,Video Games,High School,Middle Eastern,Mandarin,Intermediate,Video,Sedentary,Christianity,In a relationship,Low income,Healthy,Full-time,Collaborative
Role914,18,nondisclosed,Student,Innovative,Informal,Painting,Bachelor,Middle Eastern,Spanish,Intermediate,Voice,Sedentary,Environmentalism,In a relationship,Middle income,Average health,Sporadic,Analytical
Role915,66,nondisclosed,Engineer,Extroverted,Mixed,Sports,Bachelor,Middle Eastern,Spanish,Novice,Mixed,Sedentary,Atheism,Single,Middle income,Health-conscious,Part-time,Analytical
Role916,80,nondisclosed,Engineer,Innovative,Direct,Sports,Graduate Degree,Eastern,English,Intermediate,Video,Active,Atheism,In a relationship,High income,Healthy,Full-time,Practical
Role917,37,female,Retired,Innovative,Informal,Traveling,Graduate Degree,African,French,Expert,Video,Active,Christianity,Single,Low income,Average health,Part-time,Analytical
Role918,73,nondisclosed,Teacher,Innovative,Empathetic,Traveling,Bachelor,Middle Eastern,English,Novice,Voice,Active,Humanism,Single,Low income,Healthy,Sporadic,Creative
Role919,79,female,Teacher,Traditional,Formal,Painting,Graduate Degree,Western,Mandarin,Expert,Mixed,Sedentary,Humanism,Widowed,Middle income,Healthy,Part-time,Analytical
Role920,64,genderqueer,Doctor,Extroverted,Empathetic,Traveling,Bachelor,African,Spanish,Intermediate,Voice,Active,Atheism,Divorced,High income,Health-conscious,Part-time,Collaborative
Role921,64,nondisclosed,Engineer,Introverted,Empathetic,Sports,Graduate Degree,Western,Spanish,Expert,Voice,Active,Islam,Widowed,Middle income,Healthy,Part-time,Creative
Role922,70,genderqueer,Teacher,Traditional,Humorous,Sports,High School,Eastern,Spanish,Novice,Mixed,Active,Islam,Married,Low income,Healthy,Sporadic,Creative
Role923,66,genderqueer,Engineer,Innovative,Humorous,Sports,Bachelor,Middle Eastern,Mandarin,Novice,Voice,Sedentary,Atheism,Divorced,Low income,Average health,Sporadic,Practical
Role924,21,genderqueer,Student,Extroverted,Direct,Reading,Graduate Degree,African,French,Expert,Video,Sedentary,Humanism,Single,Middle income,Healthy,Part-time,Practical
Role925,39,genderqueer,Engineer,Extroverted,Mixed,Traveling,Bachelor,African,French,Novice,Mixed,Sedentary,Christianity,Widowed,High income,Healthy,Part-time,Creative
Role926,79,genderqueer,Teacher,Innovative,Mixed,Traveling,Graduate Degree,African,Mandarin,Intermediate,Mixed,Active,Islam,In a relationship,Middle income,Average health,Part-time,Collaborative
Role927,58,nondisclosed,Doctor,Traditional,Direct,Sports,High School,Middle Eastern,English,Intermediate,Mixed,Active,Christianity,Widowed,Middle income,Average health,Sporadic,Practical
Role928,78,male,Doctor,Innovative,Mixed,Cooking,Graduate Degree,Western,French,Intermediate,Text,Sedentary,Christianity,Divorced,Middle income,Healthy,Full-time,Collaborative
Role929,59,genderqueer,Student,Innovative,Informal,Cooking,High School,Middle Eastern,French,Expert,Video,Sedentary,Atheism,In a relationship,Low income,Healthy,Full-time,Collaborative
Role930,53,female,Scientist,Innovative,Mixed,Sports,High School,Western,French,Novice,Video,Active,Atheism,Single,Low income,Average health,Part-time,Practical
Role931,35,male,Student,Extroverted,Empathetic,Video Games,Bachelor,Western,Spanish,Novice,Text,Active,Humanism,Widowed,High income,Average health,Part-time,Collaborative
Role932,35,genderqueer,Scientist,Innovative,Empathetic,Video Games,High School,African,French,Novice,Voice,Active,Islam,Single,High income,Average health,Sporadic,Creative
Role933,65,male,Student,Introverted,Mixed,Painting,Bachelor,Eastern,English,Intermediate,Text,Active,Environmentalism,Widowed,Middle income,Average health,Full-time,Creative
Role934,59,female,Scientist,Innovative,Empathetic,Painting,High School,Eastern,French,Expert,Text,Active,Environmentalism,Single,High income,Healthy,Full-time,Collaborative
Role935,34,genderqueer,Engineer,Introverted,Direct,Painting,High School,Eastern,French,Intermediate,Voice,Active,Humanism,In a relationship,Middle income,Healthy,Full-time,Analytical
Role936,23,genderqueer,Student,Extroverted,Informal,Video Games,Bachelor,Middle Eastern,Mandarin,Expert,Voice,Active,Atheism,Married,High income,Healthy,Full-time,Collaborative
Role937,45,female,Engineer,Extroverted,Direct,Cooking,Graduate Degree,African,English,Expert,Voice,Sedentary,Environmentalism,Married,Middle income,Average health,Part-time,Collaborative
Role938,47,female,Teacher,Introverted,Mixed,Video Games,Bachelor,African,English,Novice,Video,Active,Environmentalism,Divorced,High income,Average health,Part-time,Creative
Role939,56,female,Engineer,Extroverted,Humorous,Cooking,Graduate Degree,Middle Eastern,French,Novice,Voice,Active,Islam,Divorced,Low income,Health-conscious,Part-time,Analytical
Role940,56,female,Artist,Traditional,Mixed,Traveling,Bachelor,Western,Spanish,Intermediate,Text,Sedentary,Environmentalism,Single,High income,Healthy,Part-time,Creative
Role941,29,male,Doctor,Traditional,Formal,Reading,Bachelor,African,Spanish,Novice,Mixed,Sedentary,Christianity,Widowed,Middle income,Healthy,Full-time,Creative
Role942,67,nondisclosed,Engineer,Traditional,Direct,Painting,Graduate Degree,Middle Eastern,French,Intermediate,Mixed,Active,Humanism,In a relationship,High income,Health-conscious,Sporadic,Collaborative
Role943,53,male,Doctor,Introverted,Direct,Painting,Bachelor,African,Spanish,Novice,Voice,Sedentary,Islam,Widowed,Low income,Healthy,Part-time,Collaborative
Role944,24,male,Retired,Traditional,Formal,Cooking,Graduate Degree,African,Mandarin,Novice,Voice,Active,Humanism,Single,High income,Healthy,Full-time,Creative
Role945,62,genderqueer,Teacher,Introverted,Humorous,Reading,High School,Western,Mandarin,Expert,Mixed,Active,Humanism,Divorced,High income,Average health,Sporadic,Practical
Role946,75,female,Scientist,Innovative,Mixed,Reading,High School,Middle Eastern,Spanish,Expert,Mixed,Active,Christianity,Widowed,Middle income,Average health,Part-time,Analytical
Role947,40,female,Doctor,Traditional,Humorous,Reading,Bachelor,Western,English,Intermediate,Text,Active,Environmentalism,Divorced,Middle income,Healthy,Full-time,Collaborative
Role948,35,genderqueer,Retired,Introverted,Humorous,Painting,Graduate Degree,African,Mandarin,Intermediate,Voice,Active,Atheism,Married,High income,Healthy,Sporadic,Practical
Role949,49,male,Teacher,Traditional,Direct,Cooking,Bachelor,African,Spanish,Novice,Mixed,Sedentary,Atheism,Divorced,Middle income,Health-conscious,Sporadic,Practical
Role950,33,genderqueer,Scientist,Traditional,Formal,Cooking,High School,Middle Eastern,Mandarin,Intermediate,Video,Sedentary,Islam,Married,Middle income,Healthy,Full-time,Practical
Role951,20,male,Scientist,Traditional,Formal,Reading,High School,Western,English,Novice,Text,Active,Environmentalism,Widowed,Middle income,Health-conscious,Part-time,Creative
Role952,64,male,Scientist,Traditional,Mixed,Traveling,Bachelor,Middle Eastern,English,Novice,Mixed,Active,Islam,Divorced,Low income,Health-conscious,Sporadic,Collaborative
Role953,33,nondisclosed,Doctor,Extroverted,Informal,Painting,High School,Western,Spanish,Intermediate,Video,Active,Humanism,In a relationship,Low income,Health-conscious,Sporadic,Collaborative
Role954,52,nondisclosed,Retired,Extroverted,Mixed,Video Games,High School,Middle Eastern,French,Expert,Text,Sedentary,Islam,In a relationship,Low income,Health-conscious,Part-time,Creative
Role955,29,female,Engineer,Extroverted,Mixed,Cooking,Graduate Degree,African,Mandarin,Intermediate,Mixed,Sedentary,Environmentalism,Divorced,Low income,Health-conscious,Sporadic,Collaborative
Role956,66,male,Teacher,Introverted,Formal,Cooking,High School,Western,Spanish,Expert,Text,Sedentary,Islam,Married,Middle income,Health-conscious,Part-time,Collaborative
Role957,18,genderqueer,Engineer,Traditional,Empathetic,Traveling,Bachelor,African,Spanish,Intermediate,Mixed,Active,Islam,Widowed,Low income,Healthy,Full-time,Practical
Role958,75,nondisclosed,Student,Traditional,Informal,Traveling,Graduate Degree,Western,English,Novice,Voice,Active,Environmentalism,In a relationship,High income,Health-conscious,Sporadic,Creative
Role959,53,female,Scientist,Innovative,Direct,Painting,Graduate Degree,Eastern,English,Novice,Text,Sedentary,Environmentalism,Married,Middle income,Average health,Full-time,Collaborative
Role960,59,female,Retired,Extroverted,Direct,Sports,Graduate Degree,Middle Eastern,French,Expert,Mixed,Active,Islam,Single,Middle income,Average health,Part-time,Creative
Role961,58,female,Artist,Innovative,Direct,Painting,High School,Middle Eastern,French,Novice,Voice,Active,Atheism,Divorced,Low income,Average health,Full-time,Creative
Role962,73,nondisclosed,Artist,Introverted,Informal,Reading,Bachelor,Eastern,Mandarin,Expert,Mixed,Sedentary,Atheism,Married,High income,Average health,Part-time,Practical
Role963,58,nondisclosed,Retired,Introverted,Direct,Video Games,High School,Eastern,Mandarin,Novice,Video,Sedentary,Islam,Single,Low income,Average health,Full-time,Analytical
Role964,52,female,Scientist,Extroverted,Humorous,Painting,Graduate Degree,Western,French,Intermediate,Text,Active,Humanism,Divorced,High income,Healthy,Full-time,Creative
Role965,48,male,Scientist,Innovative,Mixed,Painting,High School,Eastern,French,Intermediate,Mixed,Active,Environmentalism,Married,Low income,Health-conscious,Sporadic,Practical
Role966,53,female,Student,Traditional,Direct,Cooking,Bachelor,Eastern,English,Intermediate,Text,Sedentary,Atheism,Single,Low income,Average health,Sporadic,Analytical
Role967,55,male,Teacher,Extroverted,Empathetic,Traveling,Bachelor,African,Mandarin,Intermediate,Video,Sedentary,Islam,Divorced,High income,Average health,Full-time,Creative
